Starting states,,,,,,
,,,,,,
,,,,,,
Weekday occupancy state distribution between 00:00 and 00:10,,,,,,
Number of residents in the house,1,2,3,4,5,6
Combined state,,,,,,
00,0.03113983549,0.007936507937,0.002911208151,0,0,0
01,0.05170387779,0.003968253968,0,0,0.008,0
02,0,0.01537698413,0.005822416303,0.002272727273,0,0
03,0,0,0.002911208151,0,0,0
04,0,0,0,0.004545454545,0,0
05,0,0,0,0,0,0
06,0,0,0,0,0,0
10,0.8025851939,0.04365079365,0.005822416303,0.004545454545,0.008,0
11,0.1145710928,0.0496031746,0.01018922853,0,0.008,0
12,0,0.01388888889,0.01455604076,0,0,0.02564102564
13,0,0,0.004366812227,0.004545454545,0.008,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
20,0,0.7197420635,0.09315866084,0.006818181818,0.008,0
21,0,0.1051587302,0.1164483261,0.01590909091,0.008,0
22,0,0.04067460317,0.01892285298,0.04318181818,0.008,0
23,0,0,0.004366812227,0,0.016,0
24,0,0,0,0.002272727273,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
30,0,0,0.5560407569,0.06363636364,0.032,0
31,0,0,0.1237263464,0.1113636364,0.04,0.02564102564
32,0,0,0.03202328967,0.02954545455,0.016,0
33,0,0,0.008733624454,0.01818181818,0.008,0
34,0,0,0,0,0,0.02564102564
35,0,0,0,0,0,0
36,0,0,0,0,0,0
40,0,0,0,0.5227272727,0.072,0.02564102564
41,0,0,0,0.1318181818,0.104,0.07692307692
42,0,0,0,0.025,0.032,0.05128205128
43,0,0,0,0.01363636364,0,0.02564102564
44,0,0,0,0,0.016,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
50,0,0,0,0,0.408,0.1025641026
51,0,0,0,0,0.104,0.1025641026
52,0,0,0,0,0.088,0
53,0,0,0,0,0,0.02564102564
54,0,0,0,0,0,0.02564102564
55,0,0,0,0,0.008,0
56,0,0,0,0,0,0
60,0,0,0,0,0,0.3333333333
61,0,0,0,0,0,0.05128205128
62,0,0,0,0,0,0.05128205128
63,0,0,0,0,0,0.02564102564
64,0,0,0,0,0,0
65,0,0,0,0,0,0.02564102564
66,0,0,0,0,0,0
,,,,,,
,,,,,,
Weekend active occupancy distribution between 00:00 and 00:10,,,,,,
Number of residents in the house,1,2,3,4,5,6
Occupancy state,,,,,,
00,0.03880070547,0.01094527363,0.00435413643,0.002252252252,0.0078125,0
01,0.08230452675,0.01144278607,0.007256894049,0,0,0
02,0,0.04527363184,0.01015965167,0,0,0
03,0,0,0.01015965167,0.002252252252,0,0
04,0,0,0,0.006756756757,0,0
05,0,0,0,0,0,0
06,0,0,0,0,0,0
10,0.7507348618,0.03880597015,0.005805515239,0.006756756757,0,0
11,0.1281599059,0.05223880597,0.0145137881,0.009009009009,0,0
12,0,0.0223880597,0.03047895501,0.009009009009,0.015625,0
13,0,0,0.01161103048,0.01126126126,0.0078125,0
14,0,0,0,0.006756756757,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
20,0,0.6507462687,0.07256894049,0.01801801802,0,0
21,0,0.1129353234,0.1364296081,0.02027027027,0.015625,0
22,0,0.0552238806,0.02322206096,0.04279279279,0,0
23,0,0,0.01741654572,0.02702702703,0.03125,0.02777777778
24,0,0,0,0.01351351351,0.0078125,0
25,0,0,0,0,0.015625,0
26,0,0,0,0,0,0.02777777778
30,0,0,0.4499274311,0.07432432432,0.015625,0
31,0,0,0.1349782293,0.07882882883,0.03125,0.02777777778
32,0,0,0.05515239478,0.02477477477,0.0234375,0.02777777778
33,0,0,0.01596516691,0.02027027027,0.03125,0
34,0,0,0,0.002252252252,0,0
35,0,0,0,0,0.015625,0
36,0,0,0,0,0,0
40,0,0,0,0.4594594595,0.0546875,0
41,0,0,0,0.1148648649,0.09375,0.05555555556
42,0,0,0,0.03153153153,0.0546875,0.02777777778
43,0,0,0,0.01351351351,0.0546875,0.05555555556
44,0,0,0,0.004504504505,0.0078125,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
50,0,0,0,0,0.3359375,0.1944444444
51,0,0,0,0,0.109375,0.02777777778
52,0,0,0,0,0.03125,0.02777777778
53,0,0,0,0,0.0234375,0
54,0,0,0,0,0,0.02777777778
55,0,0,0,0,0.015625,0.02777777778
56,0,0,0,0,0,0
60,0,0,0,0,0,0.3333333333
61,0,0,0,0,0,0.02777777778
62,0,0,0,0,0,0.05555555556
63,0,0,0,0,0,0
64,0,0,0,0,0,0.02777777778
65,0,0,0,0,0,0
66,0,0,0,0,0,0